001 歷史通俗演義-民國 5020 第一回 　　揭大綱全書開始　乘巨變故老重來
002 歷史通俗演義-民國 5021 第二回 　　黎都督復函拒使　吳軍統被刺喪元
003 歷史通俗演義-民國 5022 第三回 　　奉密令馮國璋逞威　舉總統孫中山就職
004 歷史通俗演義-民國 5023 第四回 　　復民權南京開幕　抗和議北伐興師
005 歷史通俗演義-民國 5024 第五回 　　彭家珍狙擊宗社黨　段祺瑞倡率請願團
006 歷史通俗演義-民國 5025 第六回 　　許優待全院集議　允退位民國造成
007 歷史通俗演義-民國 5026 第七回 　　請瓜代再開選舉會　迓專使特辟正陽門
008 歷史通俗演義-民國 5027 第八回 　　變生不測蔡使遭驚　喜如所期袁公就任
009 歷史通俗演義-民國 5028 第九回 　　袁總統宣佈約法　唐首輔組織閣員
010 歷史通俗演義-民國 5029 第十回 　　踐夙約一方解職　借外債四國違言
011 歷史通俗演義-民國 5030 第十一回 　　商墊款熊秉三受謗　拒副署唐少川失蹤
012 歷史通俗演義-民國 5031 第十二回 　　組政黨笑評新總理　嗾軍人脅迫眾議員
013 歷史通俗演義-民國 5032 第十三回 　　統中華釐訂法規　征西藏欣聞捷報
014 歷史通俗演義-民國 5033 第十四回 　　張振武赴京伏法　黎宋卿通電辨誣
015 歷史通俗演義-民國 5034 第十五回 　　孫黃並至協定政綱　陸趙遞更又易總理
016 歷史通俗演義-民國 5035 第十六回 　　祝國慶全體臚歡　竊帝號外蒙抗命
017 歷史通俗演義-民國 5036 第十七回 　　示協約驚走梁如浩　議外交忙煞陸子欣
018 歷史通俗演義-民國 5037 第十八回 　　憂中憂英使索復文　病上病清後歸冥箓
019 歷史通俗演義-民國 5038 第十九回 　　競選舉黨人滋鬧　斥時政演說招尤
020 歷史通俗演義-民國 5039 第二十回 　　宋教仁中彈捐軀　應桂馨泄謀拘案
021 歷史通俗演義-民國 5040 第二十一回 　　訊兇犯直言對簿　延律師辯訟盈庭
022 歷史通俗演義-民國 5041 第二十二回 　　案情畢現幾達千言　宿將暴亡又弱一個
023 歷史通俗演義-民國 5042 第二十三回 　　開國會舉行盛典　違約法擅簽合同
024 歷史通俗演義-民國 5043 第二十四回 　　爭借款挑是翻非　請改制弄巧成拙
025 歷史通俗演義-民國 5044 第二十五回 　　煙沈黑幕空具彈章　變起白狼構成巨禍
026 歷史通俗演義-民國 5045 第二十六回 　　暗殺黨駢誅湖北　討袁軍豎幟江西
027 歷史通俗演義-民國 5046 第二十七回 　　戰湖口李司令得勝　棄江寧程都督逃生
028 歷史通俗演義-民國 5047 第二十八回 　　勸退位孫袁交惡　告獨立皖粤聯鑣
029 歷史通俗演義-民國 5048 第二十九回 　　鄭汝成力守製造局　陳其美戰敗春申江
030 歷史通俗演義-民國 5049 第三十回 　　占督署何海鳴弄兵　讓炮台鈕永建退走
031 歷史通俗演義-民國 5050 第三十一回 　　逐黨人各省廓清　下圍城三日大掠
032 歷史通俗演義-民國 5051 第三十二回 　　尹昌衡回定打箭鑪　張鎮芳怯走駐馬店
033 歷史通俗演義-民國 5052 第三十三回 　　遭彈劾改任國務員　冒公民脅舉大總統
034 歷史通俗演義-民國 5053 第三十四回 　　踵事增華正式受任　爭權侵法越俎遣員
035 歷史通俗演義-民國 5054 第三十五回 　　拒委員觸怒政府　借武力追索證書
036 歷史通俗演義-民國 5055 第三十六回 　　促就道副座入京　避要路兼督辭職
037 歷史通俗演義-民國 5056 第三十七回 　　罷國會議員回籍　行婚禮上將續姻
038 歷史通俗演義-民國 5057 第三十八回 　　讓主權孫部長簽約　失盛譽熊內閣下台
039 歷史通俗演義-民國 5058 第三十九回 　　逞陰謀毒死趙智庵　改約法進相徐東海
040 歷史通俗演義-民國 5059 第四十回 　　返老巢白匪斃命　守中立青島生風
041 歷史通俗演義-民國 5060 第四十一回 　　又謀世襲內府藏名　戀私財外交啟釁
042 歷史通俗演義-民國 5061 第四十二回 　　廿一款恃強索諾　十九省拒約聯名
043 歷史通俗演義-民國 5062 第四十三回 　　榻前會議忍辱陳詞　最後通牒恃威恫嚇
044 歷史通俗演義-民國 5063 第四十四回 　　忍簽約喪權辱國　倡改制立會籌安
045 歷史通俗演義-民國 5064 第四十五回 　　賀振雄首劾禍國賊　羅文乾立辭檢察廳
046 歷史通俗演義-民國 5065 第四十六回 　　情脈脈洪姨進甘言　語詹詹徐相陳苦口
047 歷史通俗演義-民國 5066 第四十七回 　　袁公子堅請故軍統　梁財神發起請願團
048 歷史通俗演義-民國 5067 第四十八回 　　義兒北上引侶呼朋　詞客南來直聲抗議
049 歷史通俗演義-民國 5068 第四十九回 　　競女權喜趕熱鬧場　征民意咨行組織法
050 歷史通俗演義-民國 5069 第五十回 　　逼故宮勸除帝號　傳密電強脅輿情
051 歷史通俗演義-民國 5070 第五十一回 　　遇刺客險遭毒手　訪名姝相見傾心
052 歷史通俗演義-民國 5071 第五十二回 　　偽交歡挾妓侑宴　假反目遣眷還鄉
053 歷史通俗演義-民國 5072 第五十三回 　　五公使警告外交部　兩刺客擊斃鎮守官
054 歷史通俗演義-民國 5073 第五十四回 　　京邸被搜宵來虎吏　津門餞別夜贈驪歌
055 歷史通俗演義-民國 5074 第五十五回 　　脅代表迭上推戴書　頒申令接收皇帝位
056 歷史通俗演義-民國 5075 第五十六回 　　賄內廷承辦大典　結宮眷入長女官
057 歷史通俗演義-民國 5076 第五十七回 　　雲南省宣告獨立　豐澤園籌議軍情
058 歷史通俗演義-民國 5077 第五十八回 　　慶紀元於夫人鬧宴　仍正朔唐都督誓師
059 歷史通俗演義-民國 5078 第五十九回 　　聲罪致討檄告中原　搆怨興兵禍延鄰省
060 歷史通俗演義-民國 5079 第六十回 　　泄秘謀拒絕賣國使　得密書發生炸彈案
061 歷史通俗演義-民國 5080 第六十一回 　　爭疑案怒批江朝宗　督義旅公推劉顯世
062 歷史通俗演義-民國 5081 第六十二回 　　侍宴乞封兩姨爭寵　輕裝觀劇萬目評花
063 歷史通俗演義-民國 5082 第六十三回 　　洪寵妃賣情庇女黨　陸將軍托病見親翁
064 歷史通俗演義-民國 5083 第六十四回 　　暗刺明譏馮張解體　邀功爭寵川蜀鏖兵
065 歷史通俗演義-民國 5084 第六十五回 　　龍覲光孤營受困　陸榮廷正式興師
066 歷史通俗演義-民國 5085 第六十六回 　　埋伏計連敗北軍　警告書促開大會
067 歷史通俗演義-民國 5086 第六十七回 　　撤除帝制洪憲銷沉　悵斷皇恩群姬環泣
068 歷史通俗演義-民國 5087 第六十八回 　　迫退位袁項城喪膽　鬧會場顏啟漢行兇
069 歷史通俗演義-民國 5088 第六十九回 　　偽獨立屈映光弄巧　賣舊友蔡乃煌受刑
070 歷史通俗演義-民國 5089 第七十回 　　段合肥重組內閣　馮河間會議南京
071 歷史通俗演義-民國 5090 第七十一回 　　陳其美中計被刺　陸建章繳械逃生
072 歷史通俗演義-民國 5091 第七十二回 　　好遷怒陳妻受譴　硬索款周媽生嗔
073 歷史通俗演義-民國 5092 第七十三回 　　論父病互鬥新華宮　托家事做完皇帝夢
074 歷史通俗演義-民國 5093 第七十四回 　　殉故主留遺絕命書　結同盟抵制新政府
075 歷史通俗演義-民國 5094 第七十五回 　　袁公子扶櫬歸故里　李司令集艦抗中央
076 歷史通俗演義-民國 5095 第七十六回 　　段芝泉重組閣員　龍濟光久延戰禍
077 歷史通俗演義-民國 5096 第七十七回 　　撤軍院復歸統一　開國會再造共和
078 歷史通俗演義-民國 5097 第七十八回 　　舉副座馮華甫當選　返上海黃克強病終
079 歷史通俗演義-民國 5098 第七十九回 　　目斷鄉關偉人又歿　釁開府院政客交爭
080 歷史通俗演義-民國 5099 第八十回 　　議憲法致生內哄　辦外交惹起暗潮
081 歷史通俗演義-民國 5100 第八十一回 　　絕邦交卻回德使　攻督署大鬧蜀城
